SA3_CODE_2021,SA3_NAME_2021,STATE_CODE_2021
10102,Queanbeyan,1.0
10103,Snowy Mountains,1.0
10104,South Coast,1.0
10105,Goulburn - Mulwaree,1.0
10106,Young - Yass,1.0
10201,Gosford,1.0
10202,Wyong,1.0
10301,Bathurst,1.0
10302,Lachlan Valley,1.0
10303,Lithgow - Mudgee,1.0
10304,Orange,1.0
10401,Clarence Valley,1.0
10402,Coffs Harbour,1.0
10501,Bourke - Cobar - Coonamble,1.0
10502,Broken Hill and Far West,1.0
10503,Dubbo,1.0
10601,Lower Hunter,1.0
10602,Maitland,1.0
10603,Port Stephens,1.0
10604,Upper Hunter,1.0
10701,Dapto - Port Kembla,1.0
10702,Illawarra Catchment Reserve,1.0
10703,Kiama - Shellharbour,1.0
10704,Wollongong,1.0
10801,Great Lakes,1.0
10802,Kempsey - Nambucca,1.0
10803,Lord Howe Island,1.0
10804,Port Macquarie,1.0
10805,Taree - Gloucester,1.0
10901,Albury,1.0
10902,Lower Murray,1.0
10903,Upper Murray exc. Albury,1.0
11001,Armidale,1.0
11002,Inverell - Tenterfield,1.0
11003,Moree - Narrabri,1.0
11004,Tamworth - Gunnedah,1.0
11101,Lake Macquarie - East,1.0
11102,Lake Macquarie - West,1.0
11103,Newcastle,1.0
11201,Richmond Valley - Coastal,1.0
11202,Richmond Valley - Hinterland,1.0
11203,Tweed Valley,1.0
11301,Griffith - Murrumbidgee (West),1.0
11302,Tumut - Tumbarumba,1.0
11303,Wagga Wagga,1.0
11401,Shoalhaven,1.0
11402,Southern Highlands,1.0
11501,Baulkham Hills,1.0
11502,Dural - Wisemans Ferry,1.0
11503,Hawkesbury,1.0
11504,Rouse Hill - McGraths Hill,1.0
11601,Blacktown,1.0
11602,Blacktown - North,1.0
11603,Mount Druitt,1.0
11701,Botany,1.0
11702,Marrickville - Sydenham - Petersham,1.0
11703,Sydney Inner City,1.0
11801,Eastern Suburbs - North,1.0
11802,Eastern Suburbs - South,1.0
11901,Bankstown,1.0
11902,Canterbury,1.0
11903,Hurstville,1.0
11904,Kogarah - Rockdale,1.0
12001,Canada Bay,1.0
12002,Leichhardt,1.0
12003,Strathfield - Burwood - Ashfield,1.0
12101,Chatswood - Lane Cove,1.0
12102,Hornsby,1.0
12103,Ku-ring-gai,1.0
12104,North Sydney - Mosman,1.0
12201,Manly,1.0
12202,Pittwater,1.0
12203,Warringah,1.0
12301,Camden,1.0
12302,Campbelltown (NSW),1.0
12303,Wollondilly,1.0
12401,Blue Mountains,1.0
12402,Blue Mountains - South,1.0
12403,Penrith,1.0
12404,Richmond - Windsor,1.0
12405,St Marys,1.0
12501,Auburn,1.0
12502,Carlingford,1.0
12503,Merrylands - Guildford,1.0
12504,Parramatta,1.0
12601,Pennant Hills - Epping,1.0
12602,Ryde - Hunters Hill,1.0
12701,Bringelly - Green Valley,1.0
12702,Fairfield,1.0
12703,Liverpool,1.0
12801,Cronulla - Miranda - Caringbah,1.0
12802,Sutherland - Menai - Heathcote,1.0
19797,Migratory - Offshore - Shipping (NSW),1.0
19999,No usual address (NSW),1.0
20101,Ballarat,2.0
20102,Creswick - Daylesford - Ballan,2.0
20103,Maryborough - Pyrenees,2.0
20201,Bendigo,2.0
20202,Heathcote - Castlemaine - Kyneton,2.0
20203,Loddon - Elmore,2.0
20301,Barwon - West,2.0
20302,Geelong,2.0
20303,Surf Coast - Bellarine Peninsula,2.0
20401,Upper Goulburn Valley,2.0
20402,Wangaratta - Benalla,2.0
20403,Wodonga - Alpine,2.0
20501,Baw Baw,2.0
20502,Gippsland - East,2.0
20503,Gippsland - South West,2.0
20504,Latrobe Valley,2.0
20505,Wellington,2.0
20601,Brunswick - Coburg,2.0
20602,Darebin - South,2.0
20603,Essendon,2.0
20604,Melbourne City,2.0
20605,Port Phillip,2.0
20606,Stonnington - West,2.0
20607,Yarra,2.0
20701,Boroondara,2.0
20702,Manningham - West,2.0
20703,Whitehorse - West,2.0
