District,Crime,Region,State,Population,Count,Count_Per_100
PERTH DISTRICT,Stealing,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,153155,110.12245015351208
KIMBERLEY DISTRICT,Assault (Family),REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,38046,108.41787301949162
CANNINGTON DISTRICT,Stealing,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,172879,79.15306463502296
KIMBERLEY DISTRICT,Burglary,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,25409,72.40681636840306
KIMBERLEY DISTRICT,Stealing,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,24158,68.84190128804286
KIMBERLEY DISTRICT,Property Damage,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,24056,68.5512367491166
MID WEST-GASCOYNE DISTRICT,Stealing,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,38793,63.845229670347756
FREMANTLE DISTRICT,Stealing,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,159945,57.10302428784109
GOLDFIELDS-ESPERANCE DISTRICT,Stealing,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,30032,57.002942013855936
MIRRABOOKA DISTRICT,Stealing,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,157733,53.35089902994061
GOLDFIELDS-ESPERANCE DISTRICT,Property Damage,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,27251,51.72439973426972
MID WEST-GASCOYNE DISTRICT,Property Damage,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,31179,51.3141653363177
PILBARA DISTRICT,Stealing,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,27805,50.44539995282933
ARMADALE DISTRICT,Stealing,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,118542,47.754712344550036
MANDURAH DISTRICT,Stealing,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,136812,47.189732304540236
MIDLAND DISTRICT,Stealing,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,112043,44.656080860256196
PERTH DISTRICT,Fraud & Related Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,57919,41.64527563867498
PILBARA DISTRICT,Property Damage,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,22864,41.48115894700557
MID WEST-GASCOYNE DISTRICT,Burglary,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,24093,39.65207945886341
KIMBERLEY DISTRICT,Breach of Violence Restraint Order,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,13447,38.31927504844409
SOUTH WEST DISTRICT,Stealing,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,69977,37.07508583054296
GOLDFIELDS-ESPERANCE DISTRICT,Burglary,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,18934,35.93812280535256
KIMBERLEY DISTRICT,Assault (Non-Family),REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,12282,34.99943006953151
KIMBERLEY DISTRICT,Drug Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,12130,34.56628291348456
JOONDALUP DISTRICT,Stealing,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,127565,34.55978369826124
GREAT SOUTHERN DISTRICT,Stealing,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,28682,34.41977679107165
PILBARA DISTRICT,Assault (Family),REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,18863,34.22231898256499
MID WEST-GASCOYNE DISTRICT,Drug Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,20577,33.865472918483896
GOLDFIELDS-ESPERANCE DISTRICT,Drug Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,16736,31.766157350289454
PILBARA DISTRICT,Burglary,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,16879,30.62283423139026
GOLDFIELDS-ESPERANCE DISTRICT,Assault (Family),REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,15650,29.704849577678655
WHEATBELT DISTRICT,Stealing,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,16272,29.089868959722544
CANNINGTON DISTRICT,Burglary,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,63223,28.946802129929353
PERTH DISTRICT,Drug Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,39857,28.65822529965415
MID WEST-GASCOYNE DISTRICT,Assault (Family),REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,17411,28.654893764092098
PILBARA DISTRICT,Drug Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,14886,27.0070211723725
PERTH DISTRICT,Property Damage,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,36938,26.559387964940285
CANNINGTON DISTRICT,Property Damage,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,55800,25.548163782959648
GREAT SOUTHERN DISTRICT,Drug Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,21076,25.29221168846754
WHEATBELT DISTRICT,Property Damage,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,13723,24.532956719166204
CANNINGTON DISTRICT,Fraud & Related Offences,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,53163,24.34080701063591
PERTH DISTRICT,Assault (Non-Family),METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,31981,22.995175334526916
GREAT SOUTHERN DISTRICT,Property Damage,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,18464,22.1576863074523
WHEATBELT DISTRICT,Drug Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,12070,21.577846505890555
GOLDFIELDS-ESPERANCE DISTRICT,Assault (Non-Family),REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,11224,21.303976463889153
FREMANTLE DISTRICT,Burglary,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,59281,21.16430262157309
PERTH DISTRICT,Burglary,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,29235,21.020729523932786
MIRRABOOKA DISTRICT,Burglary,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,61990,20.967218216010714
ARMADALE DISTRICT,Burglary,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,49849,20.081698095725354
MIDLAND DISTRICT,Property Damage,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,49886,19.882663350630924
ARMADALE DISTRICT,Property Damage,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,49177,19.81098251225673
MIDLAND DISTRICT,Burglary,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,49290,19.64512040557668
MANDURAH DISTRICT,Property Damage,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,55171,19.02979797805594
MANDURAH DISTRICT,Burglary,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,55085,19.00013452033154
FREMANTLE DISTRICT,Property Damage,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,53213,18.997925733401406
SOUTH WEST DISTRICT,Drug Offences,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,35331,18.71900563726529
