District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
ARMADALE DISTRICT,Assault (Family),2007-01-01,2007,January,17,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.006848459700843167
ARMADALE DISTRICT,Assault (Family),2007-01-01,2007,January,56,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.022559631955718664
CANNINGTON DISTRICT,Assault (Family),2007-01-01,2007,January,15,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.006867785963161195
CANNINGTON DISTRICT,Assault (Family),2007-01-01,2007,January,52,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.023808324672292144
FREMANTLE DISTRICT,Assault (Family),2007-01-01,2007,January,17,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.006069282646492848
FREMANTLE DISTRICT,Assault (Family),2007-01-01,2007,January,35,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.01249558191924998
GOLDFIELDS-ESPERANCE DISTRICT,Assault (Family),2007-01-01,2007,January,25,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.04745183638606814
GOLDFIELDS-ESPERANCE DISTRICT,Assault (Family),2007-01-01,2007,January,38,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.07212679130682358
GREAT SOUTHERN DISTRICT,Assault (Family),2007-01-01,2007,January,7,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.008400336013440538
GREAT SOUTHERN DISTRICT,Assault (Family),2007-01-01,2007,January,26,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.031201248049921998
JOONDALUP DISTRICT,Assault (Family),2007-01-01,2007,January,12,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0032510281376485315
JOONDALUP DISTRICT,Assault (Family),2007-01-01,2007,January,58,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.015713302665301236
KIMBERLEY DISTRICT,Assault (Family),2007-01-01,2007,January,39,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.11113644135415479
KIMBERLEY DISTRICT,Assault (Family),2007-01-01,2007,January,45,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.12823435540864014
MANDURAH DISTRICT,Assault (Family),2007-01-01,2007,January,9,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.003104315343251046
MANDURAH DISTRICT,Assault (Family),2007-01-01,2007,January,66,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.022764979183841003
MID WEST-GASCOYNE DISTRICT,Assault (Family),2007-01-01,2007,January,14,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.023041095439508896
MID WEST-GASCOYNE DISTRICT,Assault (Family),2007-01-01,2007,January,30,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.049373775941804775
MIDLAND DISTRICT,Assault (Family),2007-01-01,2007,January,17,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.006775553801882807
MIDLAND DISTRICT,Assault (Family),2007-01-01,2007,January,56,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.022319471347378658
MIRRABOOKA DISTRICT,Assault (Family),2007-01-01,2007,January,24,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.008117651833912843
MIRRABOOKA DISTRICT,Assault (Family),2007-01-01,2007,January,64,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.021647071557100914
PERTH DISTRICT,Assault (Family),2007-01-01,2007,January,5,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.003595130754905556
PERTH DISTRICT,Assault (Family),2007-01-01,2007,January,28,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.020132732227471112
PILBARA DISTRICT,Assault (Family),2007-01-01,2007,January,11,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.019956820697037317
PILBARA DISTRICT,Assault (Family),2007-01-01,2007,January,42,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.07619876993414249
SOUTH WEST DISTRICT,Assault (Family),2007-01-01,2007,January,9,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.0047683634976476074
SOUTH WEST DISTRICT,Assault (Family),2007-01-01,2007,January,23,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.012185817827321662
WHEATBELT DISTRICT,Assault (Family),2007-01-01,2007,January,3,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.005363176430627313
WHEATBELT DISTRICT,Assault (Family),2007-01-01,2007,January,20,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.03575450953751542
ARMADALE DISTRICT,Assault (Family),2007-02-01,2007,February,15,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0060427585595675
ARMADALE DISTRICT,Assault (Family),2007-02-01,2007,February,40,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.016114022825513333
CANNINGTON DISTRICT,Assault (Family),2007-02-01,2007,February,14,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.006409933565617116
CANNINGTON DISTRICT,Assault (Family),2007-02-01,2007,February,46,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.021061210287027666
FREMANTLE DISTRICT,Assault (Family),2007-02-01,2007,February,22,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.007854365777814273
FREMANTLE DISTRICT,Assault (Family),2007-02-01,2007,February,36,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.012852598545514266
GOLDFIELDS-ESPERANCE DISTRICT,Assault (Family),2007-02-01,2007,February,12,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.022776881465312707
GOLDFIELDS-ESPERANCE DISTRICT,Assault (Family),2007-02-01,2007,February,32,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.06073835057416722
GREAT SOUTHERN DISTRICT,Assault (Family),2007-02-01,2007,February,4,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.004800192007680308
GREAT SOUTHERN DISTRICT,Assault (Family),2007-02-01,2007,February,18,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.021600864034561382
JOONDALUP DISTRICT,Assault (Family),2007-02-01,2007,February,18,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.004876542206472797
JOONDALUP DISTRICT,Assault (Family),2007-02-01,2007,February,39,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.010565841447357727
KIMBERLEY DISTRICT,Assault (Family),2007-02-01,2007,February,39,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.11113644135415479
KIMBERLEY DISTRICT,Assault (Family),2007-02-01,2007,February,38,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.10828678901174056
MANDURAH DISTRICT,Assault (Family),2007-02-01,2007,February,13,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.004484011051362622
MANDURAH DISTRICT,Assault (Family),2007-02-01,2007,February,48,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.01655634849733891
MID WEST-GASCOYNE DISTRICT,Assault (Family),2007-02-01,2007,February,17,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.02797847303368937
MID WEST-GASCOYNE DISTRICT,Assault (Family),2007-02-01,2007,February,28,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.04608219087901779
MIDLAND DISTRICT,Assault (Family),2007-02-01,2007,February,17,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.006775553801882807
MIDLAND DISTRICT,Assault (Family),2007-02-01,2007,February,48,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.01913097544061028
MIRRABOOKA DISTRICT,Assault (Family),2007-02-01,2007,February,19,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.006426474368514334
MIRRABOOKA DISTRICT,Assault (Family),2007-02-01,2007,February,50,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.01691177465398509
PERTH DISTRICT,Assault (Family),2007-02-01,2007,February,4,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.0028761046039244447
PERTH DISTRICT,Assault (Family),2007-02-01,2007,February,20,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.014380523019622223
PILBARA DISTRICT,Assault (Family),2007-02-01,2007,February,15,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.02721384640505089
PILBARA DISTRICT,Assault (Family),2007-02-01,2007,February,35,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.06349897494511873
SOUTH WEST DISTRICT,Assault (Family),2007-02-01,2007,February,6,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.003178908998431738
SOUTH WEST DISTRICT,Assault (Family),2007-02-01,2007,February,26,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.013775272326537531
WHEATBELT DISTRICT,Assault (Family),2007-02-01,2007,February,2,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.0035754509537515417
WHEATBELT DISTRICT,Assault (Family),2007-02-01,2007,February,18,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.032179058583763874
ARMADALE DISTRICT,Assault (Family),2007-03-01,2007,March,22,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.008862712554032332
ARMADALE DISTRICT,Assault (Family),2007-03-01,2007,March,40,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.016114022825513333
CANNINGTON DISTRICT,Assault (Family),2007-03-01,2007,March,19,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.008699195553337515
CANNINGTON DISTRICT,Assault (Family),2007-03-01,2007,March,34,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.01556698151649871
FREMANTLE DISTRICT,Assault (Family),2007-03-01,2007,March,12,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.004284199515171422
FREMANTLE DISTRICT,Assault (Family),2007-03-01,2007,March,48,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.017136798060685687
