District,Crime,Period,Year,Month,Count,State,Region,Population,Count_Per_100
ARMADALE DISTRICT,Assault (Non-Family),2007-01-01,2007,January,27,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.0108769654072215
ARMADALE DISTRICT,Assault (Non-Family),2007-01-01,2007,January,38,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.015308321684237666
ARMADALE DISTRICT,Assault (Non-Family),2007-01-01,2007,January,3,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.0012085517119135
CANNINGTON DISTRICT,Assault (Non-Family),2007-01-01,2007,January,31,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.014193424323866471
CANNINGTON DISTRICT,Assault (Non-Family),2007-01-01,2007,January,51,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.023350472274748065
CANNINGTON DISTRICT,Assault (Non-Family),2007-01-01,2007,January,8,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.0036628191803526377
FREMANTLE DISTRICT,Assault (Non-Family),2007-01-01,2007,January,29,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.01035348216166427
FREMANTLE DISTRICT,Assault (Non-Family),2007-01-01,2007,January,62,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.02213503082838568
FREMANTLE DISTRICT,Assault (Non-Family),2007-01-01,2007,January,6,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.002142099757585711
GOLDFIELDS-ESPERANCE DISTRICT,Assault (Non-Family),2007-01-01,2007,January,23,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.04365568947518269
GOLDFIELDS-ESPERANCE DISTRICT,Assault (Non-Family),2007-01-01,2007,January,33,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.06263642402960995
GOLDFIELDS-ESPERANCE DISTRICT,Assault (Non-Family),2007-01-01,2007,January,15,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.028471101831640883
GREAT SOUTHERN DISTRICT,Assault (Non-Family),2007-01-01,2007,January,10,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.012000480019200769
GREAT SOUTHERN DISTRICT,Assault (Non-Family),2007-01-01,2007,January,21,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.025201008040321615
GREAT SOUTHERN DISTRICT,Assault (Non-Family),2007-01-01,2007,January,5,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.006000240009600384
JOONDALUP DISTRICT,Assault (Non-Family),2007-01-01,2007,January,13,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.0035219471491192422
