District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
ARMADALE DISTRICT,Breach of Violence Restraint Order,2007-01-01,2007,January,53,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.021351080243805165
ARMADALE DISTRICT,Breach of Violence Restraint Order,2007-01-01,2007,January,4,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0016114022825513333
ARMADALE DISTRICT,Breach of Violence Restraint Order,2007-01-01,2007,January,2,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0008057011412756667
CANNINGTON DISTRICT,Breach of Violence Restraint Order,2007-01-01,2007,January,37,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.01694053870913095
CANNINGTON DISTRICT,Breach of Violence Restraint Order,2007-01-01,2007,January,27,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.012362014733690153
CANNINGTON DISTRICT,Breach of Violence Restraint Order,2007-01-01,2007,January,4,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0018314095901763188
FREMANTLE DISTRICT,Breach of Violence Restraint Order,2007-01-01,2007,January,15,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.005355249393964277
FREMANTLE DISTRICT,Breach of Violence Restraint Order,2007-01-01,2007,January,4,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0014280665050571406
FREMANTLE DISTRICT,Breach of Violence Restraint Order,2007-01-01,2007,January,3,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0010710498787928555
GOLDFIELDS-ESPERANCE DISTRICT,Breach of Violence Restraint Order,2007-01-01,2007,January,9,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.01708266109898453
GOLDFIELDS-ESPERANCE DISTRICT,Breach of Violence Restraint Order,2007-01-01,2007,January,0,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.0
GOLDFIELDS-ESPERANCE DISTRICT,Breach of Violence Restraint Order,2007-01-01,2007,January,5,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.009490367277213628
GREAT SOUTHERN DISTRICT,Breach of Violence Restraint Order,2007-01-01,2007,January,8,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.009600384015360616
GREAT SOUTHERN DISTRICT,Breach of Violence Restraint Order,2007-01-01,2007,January,2,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.002400096003840154
GREAT SOUTHERN DISTRICT,Breach of Violence Restraint Order,2007-01-01,2007,January,1,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.001200048001920077
JOONDALUP DISTRICT,Breach of Violence Restraint Order,2007-01-01,2007,January,40,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.010836760458828438
JOONDALUP DISTRICT,Breach of Violence Restraint Order,2007-01-01,2007,January,7,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0018964330802949767
JOONDALUP DISTRICT,Breach of Violence Restraint Order,2007-01-01,2007,January,5,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0013545950573535547
KIMBERLEY DISTRICT,Breach of Violence Restraint Order,2007-01-01,2007,January,19,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.05414339450587028
KIMBERLEY DISTRICT,Breach of Violence Restraint Order,2007-01-01,2007,January,2,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.0056993046848284505
KIMBERLEY DISTRICT,Breach of Violence Restraint Order,2007-01-01,2007,January,6,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.017097914054485353
MANDURAH DISTRICT,Breach of Violence Restraint Order,2007-01-01,2007,January,32,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.011037565664892607
