District,Crime,Period,Year,Month,Count,State,Region,Population,Count_Per_100
ARMADALE DISTRICT,Burglary,2007-01-01,2007,January,211,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.08500147040458284
ARMADALE DISTRICT,Burglary,2007-01-01,2007,January,77,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.031019493939113164
CANNINGTON DISTRICT,Burglary,2007-01-01,2007,January,299,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.13689786686567984
CANNINGTON DISTRICT,Burglary,2007-01-01,2007,January,101,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.04624309215195205
FREMANTLE DISTRICT,Burglary,2007-01-01,2007,January,313,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.11174620402072126
FREMANTLE DISTRICT,Burglary,2007-01-01,2007,January,175,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.0624779095962499
GOLDFIELDS-ESPERANCE DISTRICT,Burglary,2007-01-01,2007,January,95,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.18031697826705892
GOLDFIELDS-ESPERANCE DISTRICT,Burglary,2007-01-01,2007,January,73,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.13855936224731896
GREAT SOUTHERN DISTRICT,Burglary,2007-01-01,2007,January,52,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.062402496099843996
GREAT SOUTHERN DISTRICT,Burglary,2007-01-01,2007,January,29,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.03480139205568223
JOONDALUP DISTRICT,Burglary,2007-01-01,2007,January,210,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.0568929924088493
JOONDALUP DISTRICT,Burglary,2007-01-01,2007,January,77,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.020860763883244742
KIMBERLEY DISTRICT,Burglary,2007-01-01,2007,January,90,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.2564687108172803
KIMBERLEY DISTRICT,Burglary,2007-01-01,2007,January,71,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.20232531631141
MANDURAH DISTRICT,Burglary,2007-01-01,2007,January,227,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.07829773143533193
MANDURAH DISTRICT,Burglary,2007-01-01,2007,January,134,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.0462198062217378
MID WEST-GASCOYNE DISTRICT,Burglary,2007-01-01,2007,January,88,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.14482974276262733
MID WEST-GASCOYNE DISTRICT,Burglary,2007-01-01,2007,January,53,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.0872270041638551
MIDLAND DISTRICT,Burglary,2007-01-01,2007,January,177,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.0705454719372504
MIDLAND DISTRICT,Burglary,2007-01-01,2007,January,131,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.05221162047333222
MIRRABOOKA DISTRICT,Burglary,2007-01-01,2007,January,326,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.11026477074398279
MIRRABOOKA DISTRICT,Burglary,2007-01-01,2007,January,75,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.025367661980977636
PERTH DISTRICT,Burglary,2007-01-01,2007,January,125,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.0898782688726389
PERTH DISTRICT,Burglary,2007-01-01,2007,January,105,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.07549774585301668
PILBARA DISTRICT,Burglary,2007-01-01,2007,January,53,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.0961555906311798
PILBARA DISTRICT,Burglary,2007-01-01,2007,January,37,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.06712748779912552
SOUTH WEST DISTRICT,Burglary,2007-01-01,2007,January,118,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.06251854363582418
SOUTH WEST DISTRICT,Burglary,2007-01-01,2007,January,100,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.05298181664052897
WHEATBELT DISTRICT,Burglary,2007-01-01,2007,January,34,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.06078266621377621
WHEATBELT DISTRICT,Burglary,2007-01-01,2007,January,21,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.03754223501439119
ARMADALE DISTRICT,Burglary,2007-02-01,2007,February,197,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.07936156241565316
ARMADALE DISTRICT,Burglary,2007-02-01,2007,February,83,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.03343659736294016
CANNINGTON DISTRICT,Burglary,2007-02-01,2007,February,286,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.1309457856976068
CANNINGTON DISTRICT,Burglary,2007-02-01,2007,February,78,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.035712487008438216
FREMANTLE DISTRICT,Burglary,2007-02-01,2007,February,250,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.08925415656607129
FREMANTLE DISTRICT,Burglary,2007-02-01,2007,February,122,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.04355602840424279
GOLDFIELDS-ESPERANCE DISTRICT,Burglary,2007-02-01,2007,February,70,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.1328651418809908
GOLDFIELDS-ESPERANCE DISTRICT,Burglary,2007-02-01,2007,February,37,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.07022871785138085
GREAT SOUTHERN DISTRICT,Burglary,2007-02-01,2007,February,46,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.05520220808832354
GREAT SOUTHERN DISTRICT,Burglary,2007-02-01,2007,February,30,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.03600144005760231
JOONDALUP DISTRICT,Burglary,2007-02-01,2007,February,163,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.04415979886972589
JOONDALUP DISTRICT,Burglary,2007-02-01,2007,February,72,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.01950616882589119
KIMBERLEY DISTRICT,Burglary,2007-02-01,2007,February,58,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.16527983586002506
KIMBERLEY DISTRICT,Burglary,2007-02-01,2007,February,56,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.1595805311751966
MANDURAH DISTRICT,Burglary,2007-02-01,2007,February,179,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.06174138293799303
MANDURAH DISTRICT,Burglary,2007-02-01,2007,February,85,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.02931853379737099
MID WEST-GASCOYNE DISTRICT,Burglary,2007-02-01,2007,February,83,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.13660078010565987
MID WEST-GASCOYNE DISTRICT,Burglary,2007-02-01,2007,February,41,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.06747749378713319
MIDLAND DISTRICT,Burglary,2007-02-01,2007,February,190,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.07572677778574902
MIDLAND DISTRICT,Burglary,2007-02-01,2007,February,86,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.034276330997760084
MIRRABOOKA DISTRICT,Burglary,2007-02-01,2007,February,358,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.12108830652253325
MIRRABOOKA DISTRICT,Burglary,2007-02-01,2007,February,80,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.027058839446376146
PERTH DISTRICT,Burglary,2007-02-01,2007,February,100,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.07190261509811112
PERTH DISTRICT,Burglary,2007-02-01,2007,February,80,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.05752209207848889
PILBARA DISTRICT,Burglary,2007-02-01,2007,February,34,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.06168471851811534
PILBARA DISTRICT,Burglary,2007-02-01,2007,February,36,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.06531323137212212
SOUTH WEST DISTRICT,Burglary,2007-02-01,2007,February,90,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.04768363497647607
SOUTH WEST DISTRICT,Burglary,2007-02-01,2007,February,72,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.03814690798118086
