District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
ARMADALE DISTRICT,Drug Offences,2007-01-01,2007,January,9,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0036256551357404998
ARMADALE DISTRICT,Drug Offences,2007-01-01,2007,January,8,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0032228045651026666
ARMADALE DISTRICT,Drug Offences,2007-01-01,2007,January,39,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.015711172254875498
ARMADALE DISTRICT,Drug Offences,2007-01-01,2007,January,34,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.013696919401686334
ARMADALE DISTRICT,Drug Offences,2007-01-01,2007,January,0,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0
CANNINGTON DISTRICT,Drug Offences,2007-01-01,2007,January,13,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.005952081168073036
CANNINGTON DISTRICT,Drug Offences,2007-01-01,2007,January,3,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0013735571926322392
CANNINGTON DISTRICT,Drug Offences,2007-01-01,2007,January,65,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.02976040584036518
CANNINGTON DISTRICT,Drug Offences,2007-01-01,2007,January,36,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.01648268631158687
CANNINGTON DISTRICT,Drug Offences,2007-01-01,2007,January,0,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0
FREMANTLE DISTRICT,Drug Offences,2007-01-01,2007,January,3,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0010710498787928555
FREMANTLE DISTRICT,Drug Offences,2007-01-01,2007,January,9,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0032131496363785664
FREMANTLE DISTRICT,Drug Offences,2007-01-01,2007,January,65,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.023206080707178535
FREMANTLE DISTRICT,Drug Offences,2007-01-01,2007,January,51,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.018207847939478543
FREMANTLE DISTRICT,Drug Offences,2007-01-01,2007,January,0,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0
GOLDFIELDS-ESPERANCE DISTRICT,Drug Offences,2007-01-01,2007,January,2,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.003796146910885451
GOLDFIELDS-ESPERANCE DISTRICT,Drug Offences,2007-01-01,2007,January,3,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.005694220366328177
GOLDFIELDS-ESPERANCE DISTRICT,Drug Offences,2007-01-01,2007,January,48,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.09110752586125083
GOLDFIELDS-ESPERANCE DISTRICT,Drug Offences,2007-01-01,2007,January,21,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.03985954256429724
GOLDFIELDS-ESPERANCE DISTRICT,Drug Offences,2007-01-01,2007,January,2,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.003796146910885451
GREAT SOUTHERN DISTRICT,Drug Offences,2007-01-01,2007,January,6,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.007200288011520461
GREAT SOUTHERN DISTRICT,Drug Offences,2007-01-01,2007,January,4,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.004800192007680308
GREAT SOUTHERN DISTRICT,Drug Offences,2007-01-01,2007,January,21,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.025201008040321615
GREAT SOUTHERN DISTRICT,Drug Offences,2007-01-01,2007,January,25,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.03000120004800192
GREAT SOUTHERN DISTRICT,Drug Offences,2007-01-01,2007,January,0,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.0
JOONDALUP DISTRICT,Drug Offences,2007-01-01,2007,January,14,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0037928661605899534
JOONDALUP DISTRICT,Drug Offences,2007-01-01,2007,January,9,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0024382711032363987
JOONDALUP DISTRICT,Drug Offences,2007-01-01,2007,January,57,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.015442383653830525
JOONDALUP DISTRICT,Drug Offences,2007-01-01,2007,January,45,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.012191355516181992
JOONDALUP DISTRICT,Drug Offences,2007-01-01,2007,January,0,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0
KIMBERLEY DISTRICT,Drug Offences,2007-01-01,2007,January,6,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.017097914054485353
KIMBERLEY DISTRICT,Drug Offences,2007-01-01,2007,January,1,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.0028496523424142253
KIMBERLEY DISTRICT,Drug Offences,2007-01-01,2007,January,11,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.03134617576655648
KIMBERLEY DISTRICT,Drug Offences,2007-01-01,2007,January,15,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.04274478513621338
KIMBERLEY DISTRICT,Drug Offences,2007-01-01,2007,January,0,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.0
MANDURAH DISTRICT,Drug Offences,2007-01-01,2007,January,5,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.00172461963513947
MANDURAH DISTRICT,Drug Offences,2007-01-01,2007,January,8,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.002759391416223152
MANDURAH DISTRICT,Drug Offences,2007-01-01,2007,January,60,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.020695435621673638
MANDURAH DISTRICT,Drug Offences,2007-01-01,2007,January,34,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.011727413518948395
MANDURAH DISTRICT,Drug Offences,2007-01-01,2007,January,0,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.0
MID WEST-GASCOYNE DISTRICT,Drug Offences,2007-01-01,2007,January,4,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.00658317012557397
MID WEST-GASCOYNE DISTRICT,Drug Offences,2007-01-01,2007,January,6,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.009874755188360954
MID WEST-GASCOYNE DISTRICT,Drug Offences,2007-01-01,2007,January,25,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.041144813284837316
MID WEST-GASCOYNE DISTRICT,Drug Offences,2007-01-01,2007,January,17,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.02797847303368937
MID WEST-GASCOYNE DISTRICT,Drug Offences,2007-01-01,2007,January,0,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.0
MIDLAND DISTRICT,Drug Offences,2007-01-01,2007,January,17,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.006775553801882807
MIDLAND DISTRICT,Drug Offences,2007-01-01,2007,January,3,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.0011956859650381424
MIDLAND DISTRICT,Drug Offences,2007-01-01,2007,January,74,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.029493587137607514
MIDLAND DISTRICT,Drug Offences,2007-01-01,2007,January,38,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.015145355557149803
MIDLAND DISTRICT,Drug Offences,2007-01-01,2007,January,0,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.0
MIRRABOOKA DISTRICT,Drug Offences,2007-01-01,2007,January,13,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.004397061410036124
MIRRABOOKA DISTRICT,Drug Offences,2007-01-01,2007,January,7,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.0023676484515579126
MIRRABOOKA DISTRICT,Drug Offences,2007-01-01,2007,January,69,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.023338249022499424
MIRRABOOKA DISTRICT,Drug Offences,2007-01-01,2007,January,38,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.012852948737028668
MIRRABOOKA DISTRICT,Drug Offences,2007-01-01,2007,January,0,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.0
PERTH DISTRICT,Drug Offences,2007-01-01,2007,January,9,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.006471235358830001
PERTH DISTRICT,Drug Offences,2007-01-01,2007,January,0,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.0
PERTH DISTRICT,Drug Offences,2007-01-01,2007,January,90,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.0647123535883
PERTH DISTRICT,Drug Offences,2007-01-01,2007,January,47,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.033794229096112224
PERTH DISTRICT,Drug Offences,2007-01-01,2007,January,0,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.0
PILBARA DISTRICT,Drug Offences,2007-01-01,2007,January,1,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0018142564270033925
PILBARA DISTRICT,Drug Offences,2007-01-01,2007,January,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0
PILBARA DISTRICT,Drug Offences,2007-01-01,2007,January,4,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.00725702570801357
PILBARA DISTRICT,Drug Offences,2007-01-01,2007,January,2,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.003628512854006785
PILBARA DISTRICT,Drug Offences,2007-01-01,2007,January,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0
SOUTH WEST DISTRICT,Drug Offences,2007-01-01,2007,January,4,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.0021192726656211586
SOUTH WEST DISTRICT,Drug Offences,2007-01-01,2007,January,12,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.006357817996863476
SOUTH WEST DISTRICT,Drug Offences,2007-01-01,2007,January,50,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.026490908320264486
SOUTH WEST DISTRICT,Drug Offences,2007-01-01,2007,January,26,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.013775272326537531
SOUTH WEST DISTRICT,Drug Offences,2007-01-01,2007,January,0,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.0
WHEATBELT DISTRICT,Drug Offences,2007-01-01,2007,January,2,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.0035754509537515417
WHEATBELT DISTRICT,Drug Offences,2007-01-01,2007,January,3,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.005363176430627313
WHEATBELT DISTRICT,Drug Offences,2007-01-01,2007,January,13,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.02324043119938502
WHEATBELT DISTRICT,Drug Offences,2007-01-01,2007,January,12,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.021452705722509253
WHEATBELT DISTRICT,Drug Offences,2007-01-01,2007,January,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.0
ARMADALE DISTRICT,Drug Offences,2007-02-01,2007,February,6,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.002417103423827
ARMADALE DISTRICT,Drug Offences,2007-02-01,2007,February,8,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0032228045651026666
ARMADALE DISTRICT,Drug Offences,2007-02-01,2007,February,51,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.020545379102529498
ARMADALE DISTRICT,Drug Offences,2007-02-01,2007,February,37,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.014905471113599833
ARMADALE DISTRICT,Drug Offences,2007-02-01,2007,February,0,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0
CANNINGTON DISTRICT,Drug Offences,2007-02-01,2007,February,4,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0018314095901763188
CANNINGTON DISTRICT,Drug Offences,2007-02-01,2007,February,13,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.005952081168073036
CANNINGTON DISTRICT,Drug Offences,2007-02-01,2007,February,70,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.03204966782808558
CANNINGTON DISTRICT,Drug Offences,2007-02-01,2007,February,33,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.01510912911895463
CANNINGTON DISTRICT,Drug Offences,2007-02-01,2007,February,0,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0
FREMANTLE DISTRICT,Drug Offences,2007-02-01,2007,February,6,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.002142099757585711
FREMANTLE DISTRICT,Drug Offences,2007-02-01,2007,February,7,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.002499116383849996
FREMANTLE DISTRICT,Drug Offences,2007-02-01,2007,February,61,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.021778014202121394
FREMANTLE DISTRICT,Drug Offences,2007-02-01,2007,February,33,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.01178154866672141
FREMANTLE DISTRICT,Drug Offences,2007-02-01,2007,February,1,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.00035701662626428515
GOLDFIELDS-ESPERANCE DISTRICT,Drug Offences,2007-02-01,2007,February,2,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.003796146910885451
GOLDFIELDS-ESPERANCE DISTRICT,Drug Offences,2007-02-01,2007,February,6,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.011388440732656354
GOLDFIELDS-ESPERANCE DISTRICT,Drug Offences,2007-02-01,2007,February,35,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.0664325709404954
GOLDFIELDS-ESPERANCE DISTRICT,Drug Offences,2007-02-01,2007,February,30,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.05694220366328177
GOLDFIELDS-ESPERANCE DISTRICT,Drug Offences,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.0
GREAT SOUTHERN DISTRICT,Drug Offences,2007-02-01,2007,February,4,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.004800192007680308
GREAT SOUTHERN DISTRICT,Drug Offences,2007-02-01,2007,February,14,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.016800672026881076
GREAT SOUTHERN DISTRICT,Drug Offences,2007-02-01,2007,February,32,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.03840153606144246
GREAT SOUTHERN DISTRICT,Drug Offences,2007-02-01,2007,February,34,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.04080163206528262
GREAT SOUTHERN DISTRICT,Drug Offences,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.0
JOONDALUP DISTRICT,Drug Offences,2007-02-01,2007,February,7,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0018964330802949767
JOONDALUP DISTRICT,Drug Offences,2007-02-01,2007,February,8,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0021673520917656875
JOONDALUP DISTRICT,Drug Offences,2007-02-01,2007,February,48,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.013004112550594126
JOONDALUP DISTRICT,Drug Offences,2007-02-01,2007,February,32,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.00866940836706275
JOONDALUP DISTRICT,Drug Offences,2007-02-01,2007,February,1,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.00027091901147071094
KIMBERLEY DISTRICT,Drug Offences,2007-02-01,2007,February,4,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.011398609369656901
KIMBERLEY DISTRICT,Drug Offences,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.0
KIMBERLEY DISTRICT,Drug Offences,2007-02-01,2007,February,9,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.02564687108172803
KIMBERLEY DISTRICT,Drug Offences,2007-02-01,2007,February,5,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.014248261712071126
KIMBERLEY DISTRICT,Drug Offences,2007-02-01,2007,February,0,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.0
MANDURAH DISTRICT,Drug Offences,2007-02-01,2007,February,1,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.000344923927027894
MANDURAH DISTRICT,Drug Offences,2007-02-01,2007,February,18,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.006208630686502092
MANDURAH DISTRICT,Drug Offences,2007-02-01,2007,February,51,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.017591120278422592
MANDURAH DISTRICT,Drug Offences,2007-02-01,2007,February,29,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.010002793883808926
MANDURAH DISTRICT,Drug Offences,2007-02-01,2007,February,0,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.0
