District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
ARMADALE DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,0,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0
ARMADALE DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,0,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0
ARMADALE DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,15,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0060427585595675
CANNINGTON DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,0,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0
CANNINGTON DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,0,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0
CANNINGTON DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,50,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.022892619877203986
FREMANTLE DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,4,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0014280665050571406
FREMANTLE DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,0,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0
FREMANTLE DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,62,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.02213503082838568
GOLDFIELDS-ESPERANCE DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,1,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.0018980734554427255
GOLDFIELDS-ESPERANCE DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,0,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.0
GOLDFIELDS-ESPERANCE DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,5,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.009490367277213628
GREAT SOUTHERN DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,0,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.0
GREAT SOUTHERN DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,0,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.0
GREAT SOUTHERN DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,23,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.02760110404416177
JOONDALUP DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,2,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0005418380229414219
JOONDALUP DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,0,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0
JOONDALUP DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,43,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.011649517493240572
KIMBERLEY DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,0,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.0
KIMBERLEY DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,0,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.0
KIMBERLEY DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,6,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.017097914054485353
MANDURAH DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,3,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.001034771781083682
MANDURAH DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,0,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.0
MANDURAH DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,28,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.009657869956781032
MID WEST-GASCOYNE DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,0,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.0
MID WEST-GASCOYNE DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,0,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.0
MID WEST-GASCOYNE DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,10,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.016457925313934925
MIDLAND DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,1,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.00039856198834604744
MIDLAND DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,0,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.0
MIDLAND DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,25,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.009964049708651187
MIRRABOOKA DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,13,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.004397061410036124
MIRRABOOKA DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,0,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.0
MIRRABOOKA DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,76,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.025705897474057337
PERTH DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,8,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.0057522092078488895
PERTH DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,0,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.0
PERTH DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,183,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.13158178562954334
PILBARA DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0
PILBARA DISTRICT,Fraud & Related Offences,2007-01-01,2007,January,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0
