District,Crime,Period,Year,Month,Count,State,Region,Population,Count_Per_100
ARMADALE DISTRICT,Graffiti,2007-01-01,2007,January,281,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.11320101034923116
CANNINGTON DISTRICT,Graffiti,2007-01-01,2007,January,138,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.063183630861083
FREMANTLE DISTRICT,Graffiti,2007-01-01,2007,January,87,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.03106044648499281
GOLDFIELDS-ESPERANCE DISTRICT,Graffiti,2007-01-01,2007,January,9,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.01708266109898453
GREAT SOUTHERN DISTRICT,Graffiti,2007-01-01,2007,January,5,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.006000240009600384
JOONDALUP DISTRICT,Graffiti,2007-01-01,2007,January,61,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.01652605969971337
KIMBERLEY DISTRICT,Graffiti,2007-01-01,2007,January,7,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.019947566396899576
MANDURAH DISTRICT,Graffiti,2007-01-01,2007,January,52,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.017936044205450488
MID WEST-GASCOYNE DISTRICT,Graffiti,2007-01-01,2007,January,10,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.016457925313934925
MIDLAND DISTRICT,Graffiti,2007-01-01,2007,January,52,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.020725223393994466
MIRRABOOKA DISTRICT,Graffiti,2007-01-01,2007,January,77,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.026044132967137038
PERTH DISTRICT,Graffiti,2007-01-01,2007,January,69,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.04961280441769667
PILBARA DISTRICT,Graffiti,2007-01-01,2007,January,10,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.018142564270033926
SOUTH WEST DISTRICT,Graffiti,2007-01-01,2007,January,19,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.010066545161700503
WHEATBELT DISTRICT,Graffiti,2007-01-01,2007,January,15,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.026815882153136565
ARMADALE DISTRICT,Graffiti,2007-02-01,2007,February,276,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.111186757496042
CANNINGTON DISTRICT,Graffiti,2007-02-01,2007,February,138,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.063183630861083
FREMANTLE DISTRICT,Graffiti,2007-02-01,2007,February,68,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.02427713058597139
GOLDFIELDS-ESPERANCE DISTRICT,Graffiti,2007-02-01,2007,February,8,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.015184587643541804
GREAT SOUTHERN DISTRICT,Graffiti,2007-02-01,2007,February,11,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.013200528021120846
JOONDALUP DISTRICT,Graffiti,2007-02-01,2007,February,61,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.01652605969971337
KIMBERLEY DISTRICT,Graffiti,2007-02-01,2007,February,4,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.011398609369656901
MANDURAH DISTRICT,Graffiti,2007-02-01,2007,February,25,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.00862309817569735
MID WEST-GASCOYNE DISTRICT,Graffiti,2007-02-01,2007,February,15,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.024686887970902387
