District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
ARMADALE DISTRICT,Historical Sexual Offences,2007-01-01,2007,January,12,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.004834206847654
ARMADALE DISTRICT,Historical Sexual Offences,2007-01-01,2007,January,0,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0
CANNINGTON DISTRICT,Historical Sexual Offences,2007-01-01,2007,January,12,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.005494228770528957
CANNINGTON DISTRICT,Historical Sexual Offences,2007-01-01,2007,January,1,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0004578523975440797
FREMANTLE DISTRICT,Historical Sexual Offences,2007-01-01,2007,January,1,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.00035701662626428515
FREMANTLE DISTRICT,Historical Sexual Offences,2007-01-01,2007,January,1,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.00035701662626428515
GOLDFIELDS-ESPERANCE DISTRICT,Historical Sexual Offences,2007-01-01,2007,January,6,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.011388440732656354
GOLDFIELDS-ESPERANCE DISTRICT,Historical Sexual Offences,2007-01-01,2007,January,0,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.0
GREAT SOUTHERN DISTRICT,Historical Sexual Offences,2007-01-01,2007,January,11,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.013200528021120846
GREAT SOUTHERN DISTRICT,Historical Sexual Offences,2007-01-01,2007,January,0,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.0
JOONDALUP DISTRICT,Historical Sexual Offences,2007-01-01,2007,January,1,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.00027091901147071094
JOONDALUP DISTRICT,Historical Sexual Offences,2007-01-01,2007,January,1,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.00027091901147071094
KIMBERLEY DISTRICT,Historical Sexual Offences,2007-01-01,2007,January,4,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.011398609369656901
