District,Crime,Period,Year,Month,Count,State,Region,Population,Count_Per_100
ARMADALE DISTRICT,Property Damage,2007-01-01,2007,January,21,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.0084598619833945
ARMADALE DISTRICT,Property Damage,2007-01-01,2007,January,285,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.11481241263178249
CANNINGTON DISTRICT,Property Damage,2007-01-01,2007,January,22,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.010072752745969754
CANNINGTON DISTRICT,Property Damage,2007-01-01,2007,January,351,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.16070619153797197
FREMANTLE DISTRICT,Property Damage,2007-01-01,2007,January,22,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.007854365777814273
FREMANTLE DISTRICT,Property Damage,2007-01-01,2007,January,463,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.16529869796036403
GOLDFIELDS-ESPERANCE DISTRICT,Property Damage,2007-01-01,2007,January,19,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.03606339565341179
GOLDFIELDS-ESPERANCE DISTRICT,Property Damage,2007-01-01,2007,January,155,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.29420138559362247
GREAT SOUTHERN DISTRICT,Property Damage,2007-01-01,2007,January,14,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.016800672026881076
GREAT SOUTHERN DISTRICT,Property Damage,2007-01-01,2007,January,76,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.09120364814592584
JOONDALUP DISTRICT,Property Damage,2007-01-01,2007,January,38,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.010294922435887015
JOONDALUP DISTRICT,Property Damage,2007-01-01,2007,January,326,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.08831959773945178
KIMBERLEY DISTRICT,Property Damage,2007-01-01,2007,January,7,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.019947566396899576
KIMBERLEY DISTRICT,Property Damage,2007-01-01,2007,January,88,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.25076940613245186
MANDURAH DISTRICT,Property Damage,2007-01-01,2007,January,24,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.008278174248669456
MANDURAH DISTRICT,Property Damage,2007-01-01,2007,January,294,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.10140763454620083
MID WEST-GASCOYNE DISTRICT,Property Damage,2007-01-01,2007,January,16,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.02633268050229588
MID WEST-GASCOYNE DISTRICT,Property Damage,2007-01-01,2007,January,196,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.3225753361531245
MIDLAND DISTRICT,Property Damage,2007-01-01,2007,January,31,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.012355421638727472
MIDLAND DISTRICT,Property Damage,2007-01-01,2007,January,291,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.11598153860869981
MIRRABOOKA DISTRICT,Property Damage,2007-01-01,2007,January,25,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.008455887326992545
MIRRABOOKA DISTRICT,Property Damage,2007-01-01,2007,January,354,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.11973536455021444
PERTH DISTRICT,Property Damage,2007-01-01,2007,January,31,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.022289810680414447
PERTH DISTRICT,Property Damage,2007-01-01,2007,January,244,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.17544238083939112
PILBARA DISTRICT,Property Damage,2007-01-01,2007,January,4,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.00725702570801357
PILBARA DISTRICT,Property Damage,2007-01-01,2007,January,139,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.25218164335347154
SOUTH WEST DISTRICT,Property Damage,2007-01-01,2007,January,7,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.003708727164837028
SOUTH WEST DISTRICT,Property Damage,2007-01-01,2007,January,226,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.11973890560759547
WHEATBELT DISTRICT,Property Damage,2007-01-01,2007,January,1,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.0017877254768757709
WHEATBELT DISTRICT,Property Damage,2007-01-01,2007,January,84,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.15016894005756476
ARMADALE DISTRICT,Property Damage,2007-02-01,2007,February,16,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.006445609130205333
ARMADALE DISTRICT,Property Damage,2007-02-01,2007,February,244,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.09829553923563134
