District,Crime,Period,Year,Month,Count,State,Region,Population,Count_Per_100
ARMADALE DISTRICT,Receiving and Possession of Stolen Property,2007-01-01,2007,January,4,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.0016114022825513333
ARMADALE DISTRICT,Receiving and Possession of Stolen Property,2007-01-01,2007,January,3,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.0012085517119135
CANNINGTON DISTRICT,Receiving and Possession of Stolen Property,2007-01-01,2007,January,3,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.0013735571926322392
CANNINGTON DISTRICT,Receiving and Possession of Stolen Property,2007-01-01,2007,January,4,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.0018314095901763188
FREMANTLE DISTRICT,Receiving and Possession of Stolen Property,2007-01-01,2007,January,8,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.0028561330101142812
FREMANTLE DISTRICT,Receiving and Possession of Stolen Property,2007-01-01,2007,January,1,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.00035701662626428515
GOLDFIELDS-ESPERANCE DISTRICT,Receiving and Possession of Stolen Property,2007-01-01,2007,January,1,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.0018980734554427255
GOLDFIELDS-ESPERANCE DISTRICT,Receiving and Possession of Stolen Property,2007-01-01,2007,January,8,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.015184587643541804
GREAT SOUTHERN DISTRICT,Receiving and Possession of Stolen Property,2007-01-01,2007,January,2,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.002400096003840154
GREAT SOUTHERN DISTRICT,Receiving and Possession of Stolen Property,2007-01-01,2007,January,5,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.006000240009600384
JOONDALUP DISTRICT,Receiving and Possession of Stolen Property,2007-01-01,2007,January,4,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.0010836760458828437
JOONDALUP DISTRICT,Receiving and Possession of Stolen Property,2007-01-01,2007,January,0,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.0
KIMBERLEY DISTRICT,Receiving and Possession of Stolen Property,2007-01-01,2007,January,5,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.014248261712071126
KIMBERLEY DISTRICT,Receiving and Possession of Stolen Property,2007-01-01,2007,January,8,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.022797218739313802
MANDURAH DISTRICT,Receiving and Possession of Stolen Property,2007-01-01,2007,January,3,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.001034771781083682
MANDURAH DISTRICT,Receiving and Possession of Stolen Property,2007-01-01,2007,January,5,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.00172461963513947
MID WEST-GASCOYNE DISTRICT,Receiving and Possession of Stolen Property,2007-01-01,2007,January,5,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.008228962656967462
MID WEST-GASCOYNE DISTRICT,Receiving and Possession of Stolen Property,2007-01-01,2007,January,7,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.011520547719754448
MIDLAND DISTRICT,Receiving and Possession of Stolen Property,2007-01-01,2007,January,6,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.002391371930076285
