District,Crime,Period,Year,Month,Count,State,Region,Population,Count_Per_100
ARMADALE DISTRICT,Regulated Weapons Offences,2007-01-01,2007,January,9,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.0036256551357404998
CANNINGTON DISTRICT,Regulated Weapons Offences,2007-01-01,2007,January,10,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.004578523975440797
FREMANTLE DISTRICT,Regulated Weapons Offences,2007-01-01,2007,January,15,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.005355249393964277
GOLDFIELDS-ESPERANCE DISTRICT,Regulated Weapons Offences,2007-01-01,2007,January,16,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.03036917528708361
GREAT SOUTHERN DISTRICT,Regulated Weapons Offences,2007-01-01,2007,January,3,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.0036001440057602304
JOONDALUP DISTRICT,Regulated Weapons Offences,2007-01-01,2007,January,12,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.0032510281376485315
KIMBERLEY DISTRICT,Regulated Weapons Offences,2007-01-01,2007,January,4,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.011398609369656901
MANDURAH DISTRICT,Regulated Weapons Offences,2007-01-01,2007,January,16,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.005518782832446304
MID WEST-GASCOYNE DISTRICT,Regulated Weapons Offences,2007-01-01,2007,January,8,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.01316634025114794
MIDLAND DISTRICT,Regulated Weapons Offences,2007-01-01,2007,January,18,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.007174115790228855
MIRRABOOKA DISTRICT,Regulated Weapons Offences,2007-01-01,2007,January,13,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.004397061410036124
PERTH DISTRICT,Regulated Weapons Offences,2007-01-01,2007,January,20,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.014380523019622223
PILBARA DISTRICT,Regulated Weapons Offences,2007-01-01,2007,January,12,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.021771077124040708
SOUTH WEST DISTRICT,Regulated Weapons Offences,2007-01-01,2007,January,7,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.003708727164837028
WHEATBELT DISTRICT,Regulated Weapons Offences,2007-01-01,2007,January,15,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.026815882153136565
ARMADALE DISTRICT,Regulated Weapons Offences,2007-02-01,2007,February,14,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.005639907988929666
CANNINGTON DISTRICT,Regulated Weapons Offences,2007-02-01,2007,February,16,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.007325638360705275
FREMANTLE DISTRICT,Regulated Weapons Offences,2007-02-01,2007,February,20,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.007140332525285703
GOLDFIELDS-ESPERANCE DISTRICT,Regulated Weapons Offences,2007-02-01,2007,February,6,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.011388440732656354
GREAT SOUTHERN DISTRICT,Regulated Weapons Offences,2007-02-01,2007,February,8,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.009600384015360616
JOONDALUP DISTRICT,Regulated Weapons Offences,2007-02-01,2007,February,8,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.0021673520917656875
KIMBERLEY DISTRICT,Regulated Weapons Offences,2007-02-01,2007,February,0,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.0
MANDURAH DISTRICT,Regulated Weapons Offences,2007-02-01,2007,February,14,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.004828934978390516
MID WEST-GASCOYNE DISTRICT,Regulated Weapons Offences,2007-02-01,2007,February,13,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.021395302908115404
MIDLAND DISTRICT,Regulated Weapons Offences,2007-02-01,2007,February,25,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.009964049708651187
MIRRABOOKA DISTRICT,Regulated Weapons Offences,2007-02-01,2007,February,13,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.004397061410036124
PERTH DISTRICT,Regulated Weapons Offences,2007-02-01,2007,February,16,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.011504418415697779
PILBARA DISTRICT,Regulated Weapons Offences,2007-02-01,2007,February,7,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.012699794989023747
SOUTH WEST DISTRICT,Regulated Weapons Offences,2007-02-01,2007,February,6,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.003178908998431738
WHEATBELT DISTRICT,Regulated Weapons Offences,2007-02-01,2007,February,12,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.021452705722509253
ARMADALE DISTRICT,Regulated Weapons Offences,2007-03-01,2007,March,13,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.005237057418291833
CANNINGTON DISTRICT,Regulated Weapons Offences,2007-03-01,2007,March,7,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.003204966782808558
FREMANTLE DISTRICT,Regulated Weapons Offences,2007-03-01,2007,March,25,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.008925415656607129
