District,Crime,Period,Year,Month,Count,State,Region,Population,Count_Per_100
ARMADALE DISTRICT,Robbery,2007-01-01,2007,January,0,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.0
ARMADALE DISTRICT,Robbery,2007-01-01,2007,January,4,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.0016114022825513333
CANNINGTON DISTRICT,Robbery,2007-01-01,2007,January,0,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.0
CANNINGTON DISTRICT,Robbery,2007-01-01,2007,January,23,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.010530605143513833
FREMANTLE DISTRICT,Robbery,2007-01-01,2007,January,3,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.0010710498787928555
FREMANTLE DISTRICT,Robbery,2007-01-01,2007,January,28,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.009996465535399984
GOLDFIELDS-ESPERANCE DISTRICT,Robbery,2007-01-01,2007,January,0,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.0
GOLDFIELDS-ESPERANCE DISTRICT,Robbery,2007-01-01,2007,January,6,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.011388440732656354
GREAT SOUTHERN DISTRICT,Robbery,2007-01-01,2007,January,0,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.0
GREAT SOUTHERN DISTRICT,Robbery,2007-01-01,2007,January,3,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.0036001440057602304
JOONDALUP DISTRICT,Robbery,2007-01-01,2007,January,2,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.0005418380229414219
JOONDALUP DISTRICT,Robbery,2007-01-01,2007,January,10,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.0027091901147071095
KIMBERLEY DISTRICT,Robbery,2007-01-01,2007,January,0,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.0
KIMBERLEY DISTRICT,Robbery,2007-01-01,2007,January,0,WESTERN AUSTRALIA,REGIONAL WA REGION,35092.0,0.0
MANDURAH DISTRICT,Robbery,2007-01-01,2007,January,0,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.0
MANDURAH DISTRICT,Robbery,2007-01-01,2007,January,12,WESTERN AUSTRALIA,METROPOLITAN REGION,289919.0,0.004139087124334728
MID WEST-GASCOYNE DISTRICT,Robbery,2007-01-01,2007,January,0,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.0
MID WEST-GASCOYNE DISTRICT,Robbery,2007-01-01,2007,January,1,WESTERN AUSTRALIA,REGIONAL WA REGION,60761.0,0.0016457925313934924
MIDLAND DISTRICT,Robbery,2007-01-01,2007,January,4,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.0015942479533841898
MIDLAND DISTRICT,Robbery,2007-01-01,2007,January,10,WESTERN AUSTRALIA,METROPOLITAN REGION,250902.0,0.003985619883460475
MIRRABOOKA DISTRICT,Robbery,2007-01-01,2007,January,6,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.002029412958478211
MIRRABOOKA DISTRICT,Robbery,2007-01-01,2007,January,30,WESTERN AUSTRALIA,METROPOLITAN REGION,295652.0,0.010147064792391055
PERTH DISTRICT,Robbery,2007-01-01,2007,January,2,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.0014380523019622224
PERTH DISTRICT,Robbery,2007-01-01,2007,January,37,WESTERN AUSTRALIA,METROPOLITAN REGION,139077.0,0.026603967586301114
PILBARA DISTRICT,Robbery,2007-01-01,2007,January,0,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.0
PILBARA DISTRICT,Robbery,2007-01-01,2007,January,2,WESTERN AUSTRALIA,REGIONAL WA REGION,55119.0,0.003628512854006785
SOUTH WEST DISTRICT,Robbery,2007-01-01,2007,January,1,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.0005298181664052897
SOUTH WEST DISTRICT,Robbery,2007-01-01,2007,January,4,WESTERN AUSTRALIA,REGIONAL WA REGION,188744.0,0.0021192726656211586
WHEATBELT DISTRICT,Robbery,2007-01-01,2007,January,0,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.0
WHEATBELT DISTRICT,Robbery,2007-01-01,2007,January,0,WESTERN AUSTRALIA,REGIONAL WA REGION,55937.0,0.0
ARMADALE DISTRICT,Robbery,2007-02-01,2007,February,0,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.0
ARMADALE DISTRICT,Robbery,2007-02-01,2007,February,10,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.004028505706378333
CANNINGTON DISTRICT,Robbery,2007-02-01,2007,February,3,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.0013735571926322392
CANNINGTON DISTRICT,Robbery,2007-02-01,2007,February,12,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.005494228770528957
FREMANTLE DISTRICT,Robbery,2007-02-01,2007,February,2,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.0007140332525285703
FREMANTLE DISTRICT,Robbery,2007-02-01,2007,February,13,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.004641216141435707
GOLDFIELDS-ESPERANCE DISTRICT,Robbery,2007-02-01,2007,February,0,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.0
