District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
ARMADALE DISTRICT,Stealing of Motor Vehicle,2007-01-01,2007,January,73,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.029408091656561833
CANNINGTON DISTRICT,Stealing of Motor Vehicle,2007-01-01,2007,January,99,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.04532738735686389
FREMANTLE DISTRICT,Stealing of Motor Vehicle,2007-01-01,2007,January,94,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.033559562868842804
GOLDFIELDS-ESPERANCE DISTRICT,Stealing of Motor Vehicle,2007-01-01,2007,January,21,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.03985954256429724
GREAT SOUTHERN DISTRICT,Stealing of Motor Vehicle,2007-01-01,2007,January,7,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.008400336013440538
JOONDALUP DISTRICT,Stealing of Motor Vehicle,2007-01-01,2007,January,58,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.015713302665301236
KIMBERLEY DISTRICT,Stealing of Motor Vehicle,2007-01-01,2007,January,34,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.09688817964208365
MANDURAH DISTRICT,Stealing of Motor Vehicle,2007-01-01,2007,January,51,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.017591120278422592
MID WEST-GASCOYNE DISTRICT,Stealing of Motor Vehicle,2007-01-01,2007,January,20,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.03291585062786985
MIDLAND DISTRICT,Stealing of Motor Vehicle,2007-01-01,2007,January,85,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.033877769009414034
MIRRABOOKA DISTRICT,Stealing of Motor Vehicle,2007-01-01,2007,January,80,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.027058839446376146
PERTH DISTRICT,Stealing of Motor Vehicle,2007-01-01,2007,January,42,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.03019909834120667
PILBARA DISTRICT,Stealing of Motor Vehicle,2007-01-01,2007,January,27,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0489849235290916
SOUTH WEST DISTRICT,Stealing of Motor Vehicle,2007-01-01,2007,January,18,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.009536726995295215
WHEATBELT DISTRICT,Stealing of Motor Vehicle,2007-01-01,2007,January,8,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.014301803815006167
ARMADALE DISTRICT,Stealing of Motor Vehicle,2007-02-01,2007,February,72,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.029005241085923998
CANNINGTON DISTRICT,Stealing of Motor Vehicle,2007-02-01,2007,February,75,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.034338929815805976
FREMANTLE DISTRICT,Stealing of Motor Vehicle,2007-02-01,2007,February,95,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.03391657949510709
GOLDFIELDS-ESPERANCE DISTRICT,Stealing of Motor Vehicle,2007-02-01,2007,February,15,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.028471101831640883
GREAT SOUTHERN DISTRICT,Stealing of Motor Vehicle,2007-02-01,2007,February,15,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.018000720028801154
JOONDALUP DISTRICT,Stealing of Motor Vehicle,2007-02-01,2007,February,42,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.01137859848176986
KIMBERLEY DISTRICT,Stealing of Motor Vehicle,2007-02-01,2007,February,23,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.06554200387552718
MANDURAH DISTRICT,Stealing of Motor Vehicle,2007-02-01,2007,February,50,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.0172461963513947
MID WEST-GASCOYNE DISTRICT,Stealing of Motor Vehicle,2007-02-01,2007,February,14,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.023041095439508896
MIDLAND DISTRICT,Stealing of Motor Vehicle,2007-02-01,2007,February,41,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.016341041522187946
MIRRABOOKA DISTRICT,Stealing of Motor Vehicle,2007-02-01,2007,February,93,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.03145590085641227
PERTH DISTRICT,Stealing of Motor Vehicle,2007-02-01,2007,February,51,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.036670333700036674
PILBARA DISTRICT,Stealing of Motor Vehicle,2007-02-01,2007,February,11,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.019956820697037317
SOUTH WEST DISTRICT,Stealing of Motor Vehicle,2007-02-01,2007,February,17,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.009006908828889925
WHEATBELT DISTRICT,Stealing of Motor Vehicle,2007-02-01,2007,February,7,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.012514078338130397
ARMADALE DISTRICT,Stealing of Motor Vehicle,2007-03-01,2007,March,71,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.028602390515286166
CANNINGTON DISTRICT,Stealing of Motor Vehicle,2007-03-01,2007,March,89,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0407488633814231
FREMANTLE DISTRICT,Stealing of Motor Vehicle,2007-03-01,2007,March,80,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.028561330101142812
GOLDFIELDS-ESPERANCE DISTRICT,Stealing of Motor Vehicle,2007-03-01,2007,March,19,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.03606339565341179
GREAT SOUTHERN DISTRICT,Stealing of Motor Vehicle,2007-03-01,2007,March,9,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.010800432017280691
JOONDALUP DISTRICT,Stealing of Motor Vehicle,2007-03-01,2007,March,62,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.016796978711184078
KIMBERLEY DISTRICT,Stealing of Motor Vehicle,2007-03-01,2007,March,29,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.08263991793001253
MANDURAH DISTRICT,Stealing of Motor Vehicle,2007-03-01,2007,March,44,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.015176652789227335
MID WEST-GASCOYNE DISTRICT,Stealing of Motor Vehicle,2007-03-01,2007,March,19,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.03127005809647636
MIDLAND DISTRICT,Stealing of Motor Vehicle,2007-03-01,2007,March,52,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.020725223393994466
MIRRABOOKA DISTRICT,Stealing of Motor Vehicle,2007-03-01,2007,March,74,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.025029426487897934
PERTH DISTRICT,Stealing of Motor Vehicle,2007-03-01,2007,March,48,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.03451325524709334
PILBARA DISTRICT,Stealing of Motor Vehicle,2007-03-01,2007,March,8,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.01451405141602714
SOUTH WEST DISTRICT,Stealing of Motor Vehicle,2007-03-01,2007,March,28,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.014834908659348112
WHEATBELT DISTRICT,Stealing of Motor Vehicle,2007-03-01,2007,March,17,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.030391333106888106
