District,Crime,Period,Year,Month,Count,State,Region,Population,Count_Per_100
ARMADALE DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.0
ARMADALE DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.0
ARMADALE DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.0
ARMADALE DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.0
ARMADALE DISTRICT,Stealing,2007-01-01,2007,January,5,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.0020142528531891667
ARMADALE DISTRICT,Stealing,2007-01-01,2007,January,577,WESTERN AUSTRALIA,METROPOLITAN REGION,248231.0,0.23244477925802984
CANNINGTON DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.0
CANNINGTON DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.0
CANNINGTON DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.0
CANNINGTON DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.0
CANNINGTON DISTRICT,Stealing,2007-01-01,2007,January,4,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.0018314095901763188
CANNINGTON DISTRICT,Stealing,2007-01-01,2007,January,848,WESTERN AUSTRALIA,METROPOLITAN REGION,218411.0,0.3882588331173796
FREMANTLE DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.0
FREMANTLE DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.0
FREMANTLE DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.0
FREMANTLE DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.0
FREMANTLE DISTRICT,Stealing,2007-01-01,2007,January,5,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.0017850831313214258
FREMANTLE DISTRICT,Stealing,2007-01-01,2007,January,975,WESTERN AUSTRALIA,METROPOLITAN REGION,280099.0,0.348091210607678
GOLDFIELDS-ESPERANCE DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.0
GOLDFIELDS-ESPERANCE DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.0
GOLDFIELDS-ESPERANCE DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.0
GOLDFIELDS-ESPERANCE DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.0
GOLDFIELDS-ESPERANCE DISTRICT,Stealing,2007-01-01,2007,January,5,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.009490367277213628
GOLDFIELDS-ESPERANCE DISTRICT,Stealing,2007-01-01,2007,January,209,WESTERN AUSTRALIA,REGIONAL WA REGION,52685.0,0.39669735218752966
GREAT SOUTHERN DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.0
GREAT SOUTHERN DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.0
GREAT SOUTHERN DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.0
GREAT SOUTHERN DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.0
GREAT SOUTHERN DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.0
GREAT SOUTHERN DISTRICT,Stealing,2007-01-01,2007,January,167,WESTERN AUSTRALIA,REGIONAL WA REGION,83330.0,0.20040801632065283
JOONDALUP DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.0
JOONDALUP DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.0
JOONDALUP DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.0
JOONDALUP DISTRICT,Stealing,2007-01-01,2007,January,0,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.0
JOONDALUP DISTRICT,Stealing,2007-01-01,2007,January,3,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.0008127570344121329
JOONDALUP DISTRICT,Stealing,2007-01-01,2007,January,616,WESTERN AUSTRALIA,METROPOLITAN REGION,369114.0,0.16688611106595794
