District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
ARMADALE DISTRICT,Threatening Behaviour (Family),2007-01-01,2007,January,7,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.002819953994464833
ARMADALE DISTRICT,Threatening Behaviour (Family),2007-01-01,2007,January,2,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0008057011412756667
CANNINGTON DISTRICT,Threatening Behaviour (Family),2007-01-01,2007,January,9,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.004120671577896718
CANNINGTON DISTRICT,Threatening Behaviour (Family),2007-01-01,2007,January,0,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0
FREMANTLE DISTRICT,Threatening Behaviour (Family),2007-01-01,2007,January,9,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0032131496363785664
FREMANTLE DISTRICT,Threatening Behaviour (Family),2007-01-01,2007,January,0,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0
GOLDFIELDS-ESPERANCE DISTRICT,Threatening Behaviour (Family),2007-01-01,2007,January,2,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.003796146910885451
GOLDFIELDS-ESPERANCE DISTRICT,Threatening Behaviour (Family),2007-01-01,2007,January,7,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.013286514188099079
GREAT SOUTHERN DISTRICT,Threatening Behaviour (Family),2007-01-01,2007,January,6,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.007200288011520461
GREAT SOUTHERN DISTRICT,Threatening Behaviour (Family),2007-01-01,2007,January,1,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.001200048001920077
JOONDALUP DISTRICT,Threatening Behaviour (Family),2007-01-01,2007,January,3,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0008127570344121329
JOONDALUP DISTRICT,Threatening Behaviour (Family),2007-01-01,2007,January,1,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.00027091901147071094
KIMBERLEY DISTRICT,Threatening Behaviour (Family),2007-01-01,2007,January,6,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.017097914054485353
KIMBERLEY DISTRICT,Threatening Behaviour (Family),2007-01-01,2007,January,2,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.0056993046848284505
