District,Crime,Period,Year,Month,Count,Region,State,Population,Count_Per_100
ARMADALE DISTRICT,Threatening Behaviour (Non-Family),2007-01-01,2007,January,9,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0036256551357404998
ARMADALE DISTRICT,Threatening Behaviour (Non-Family),2007-01-01,2007,January,5,METROPOLITAN REGION,WESTERN AUSTRALIA,248231.0,0.0020142528531891667
CANNINGTON DISTRICT,Threatening Behaviour (Non-Family),2007-01-01,2007,January,22,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.010072752745969754
CANNINGTON DISTRICT,Threatening Behaviour (Non-Family),2007-01-01,2007,January,5,METROPOLITAN REGION,WESTERN AUSTRALIA,218411.0,0.0022892619877203984
FREMANTLE DISTRICT,Threatening Behaviour (Non-Family),2007-01-01,2007,January,28,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.009996465535399984
FREMANTLE DISTRICT,Threatening Behaviour (Non-Family),2007-01-01,2007,January,2,METROPOLITAN REGION,WESTERN AUSTRALIA,280099.0,0.0007140332525285703
GOLDFIELDS-ESPERANCE DISTRICT,Threatening Behaviour (Non-Family),2007-01-01,2007,January,2,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.003796146910885451
GOLDFIELDS-ESPERANCE DISTRICT,Threatening Behaviour (Non-Family),2007-01-01,2007,January,7,REGIONAL WA REGION,WESTERN AUSTRALIA,52685.0,0.013286514188099079
GREAT SOUTHERN DISTRICT,Threatening Behaviour (Non-Family),2007-01-01,2007,January,4,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.004800192007680308
GREAT SOUTHERN DISTRICT,Threatening Behaviour (Non-Family),2007-01-01,2007,January,2,REGIONAL WA REGION,WESTERN AUSTRALIA,83330.0,0.002400096003840154
JOONDALUP DISTRICT,Threatening Behaviour (Non-Family),2007-01-01,2007,January,13,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0035219471491192422
JOONDALUP DISTRICT,Threatening Behaviour (Non-Family),2007-01-01,2007,January,7,METROPOLITAN REGION,WESTERN AUSTRALIA,369114.0,0.0018964330802949767
KIMBERLEY DISTRICT,Threatening Behaviour (Non-Family),2007-01-01,2007,January,3,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.008548957027242676
KIMBERLEY DISTRICT,Threatening Behaviour (Non-Family),2007-01-01,2007,January,1,REGIONAL WA REGION,WESTERN AUSTRALIA,35092.0,0.0028496523424142253
MANDURAH DISTRICT,Threatening Behaviour (Non-Family),2007-01-01,2007,January,14,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.004828934978390516
MANDURAH DISTRICT,Threatening Behaviour (Non-Family),2007-01-01,2007,January,6,METROPOLITAN REGION,WESTERN AUSTRALIA,289919.0,0.002069543562167364
MID WEST-GASCOYNE DISTRICT,Threatening Behaviour (Non-Family),2007-01-01,2007,January,5,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.008228962656967462
MID WEST-GASCOYNE DISTRICT,Threatening Behaviour (Non-Family),2007-01-01,2007,January,8,REGIONAL WA REGION,WESTERN AUSTRALIA,60761.0,0.01316634025114794
MIDLAND DISTRICT,Threatening Behaviour (Non-Family),2007-01-01,2007,January,14,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.005579867836844664
MIDLAND DISTRICT,Threatening Behaviour (Non-Family),2007-01-01,2007,January,6,METROPOLITAN REGION,WESTERN AUSTRALIA,250902.0,0.002391371930076285
MIRRABOOKA DISTRICT,Threatening Behaviour (Non-Family),2007-01-01,2007,January,25,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.008455887326992545
MIRRABOOKA DISTRICT,Threatening Behaviour (Non-Family),2007-01-01,2007,January,8,METROPOLITAN REGION,WESTERN AUSTRALIA,295652.0,0.0027058839446376143
PERTH DISTRICT,Threatening Behaviour (Non-Family),2007-01-01,2007,January,9,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.006471235358830001
PERTH DISTRICT,Threatening Behaviour (Non-Family),2007-01-01,2007,January,23,METROPOLITAN REGION,WESTERN AUSTRALIA,139077.0,0.01653760147256556
PILBARA DISTRICT,Threatening Behaviour (Non-Family),2007-01-01,2007,January,1,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0018142564270033925
PILBARA DISTRICT,Threatening Behaviour (Non-Family),2007-01-01,2007,January,0,REGIONAL WA REGION,WESTERN AUSTRALIA,55119.0,0.0
SOUTH WEST DISTRICT,Threatening Behaviour (Non-Family),2007-01-01,2007,January,4,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.0021192726656211586
SOUTH WEST DISTRICT,Threatening Behaviour (Non-Family),2007-01-01,2007,January,6,REGIONAL WA REGION,WESTERN AUSTRALIA,188744.0,0.003178908998431738
WHEATBELT DISTRICT,Threatening Behaviour (Non-Family),2007-01-01,2007,January,7,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.012514078338130397
WHEATBELT DISTRICT,Threatening Behaviour (Non-Family),2007-01-01,2007,January,1,REGIONAL WA REGION,WESTERN AUSTRALIA,55937.0,0.0017877254768757709
