State,Region,District,Name,Type
Western Australia,Metropolitan Region,Armadale District,Armadale,LGA
Western Australia,Metropolitan Region,Armadale District,Canning Vale,SAL
Western Australia,Metropolitan Region,Armadale District,Gosnells,SAL
Western Australia,Metropolitan Region,Armadale District,Huntingdale (WA),SAL
Western Australia,Metropolitan Region,Armadale District,Kenwick,SAL
Western Australia,Metropolitan Region,Armadale District,Maddington,SAL
Western Australia,Metropolitan Region,Armadale District,Martin,SAL
Western Australia,Metropolitan Region,Armadale District,Orange Grove (WA),SAL
Western Australia,Metropolitan Region,Armadale District,Southern River,SAL
Western Australia,Metropolitan Region,Armadale District,Thornlie,SAL
Western Australia,Metropolitan Region,Armadale District,Serpentine-Jarrahdale,LGA
Western Australia,Metropolitan Region,Cannington District,Belmont,LGA
Western Australia,Metropolitan Region,Cannington District,Canning,LGA
Western Australia,Metropolitan Region,Cannington District,South Perth,LGA
Western Australia,Metropolitan Region,Cannington District,Victoria Park,LGA
Western Australia,Metropolitan Region,Fremantle District,Cockburn,LGA
Western Australia,Metropolitan Region,Fremantle District,Cottesloe,LGA
Western Australia,Metropolitan Region,Fremantle District,East Fremantle,LGA
Western Australia,Metropolitan Region,Fremantle District,Fremantle,LGA
Western Australia,Metropolitan Region,Fremantle District,Mosman Park,LGA
Western Australia,Metropolitan Region,Fremantle District,Peppermint Grove,LGA
Western Australia,Metropolitan Region,Fremantle District,Melville,LGA
Western Australia,Metropolitan Region,Joondalup District,Joondalup,LGA
Western Australia,Metropolitan Region,Joondalup District,Wanneroo,LGA
Western Australia,Metropolitan Region,Mandurah District,Kwinana,LGA
Western Australia,Metropolitan Region,Mandurah District,Mandurah,LGA
Western Australia,Metropolitan Region,Mandurah District,Murray,LGA
Western Australia,Metropolitan Region,Mandurah District,Rockingham,LGA
Western Australia,Metropolitan Region,Midland District,Kalamunda,LGA
Western Australia,Metropolitan Region,Midland District,Mundaring,LGA
Western Australia,Metropolitan Region,Midland District,Swan,LGA
Western Australia,Metropolitan Region,Mirrabooka District,Bayswater,LGA
Western Australia,Metropolitan Region,Mirrabooka District,Stirling,LGA
Western Australia,Metropolitan Region,Perth District,Burswood,SAL
Western Australia,Metropolitan Region,Perth District,East Perth,SAL
Western Australia,Metropolitan Region,Perth District,Highgate (WA),SAL
Western Australia,Metropolitan Region,Perth District,Kings Park (WA),SAL
Western Australia,Metropolitan Region,Perth District,Northbridge (WA),SAL
Western Australia,Metropolitan Region,Perth District,Perth (WA),SAL
Western Australia,Metropolitan Region,Perth District,West Perth,SAL
Western Australia,Metropolitan Region,Perth District,Cambridge,LGA
Western Australia,Metropolitan Region,Perth District,Claremont,LGA
Western Australia,Metropolitan Region,Perth District,Nedlands,LGA
Western Australia,Metropolitan Region,Perth District,Subiaco,LGA
Western Australia,Metropolitan Region,Perth District,Leederville,SAL
Western Australia,Metropolitan Region,Perth District,Mount Hawthorn,SAL
Western Australia,Metropolitan Region,Perth District,North Perth,SAL
Western Australia,Regional WA Region,Mid West-Gascoyne District,Upper Gascoyne,LGA
Western Australia,Regional WA Region,Mid West-Gascoyne District,Carnarvon,LGA
Western Australia,Regional WA Region,Mid West-Gascoyne District,Shark Bay,LGA
Western Australia,Regional WA Region,Mid West-Gascoyne District,Murchison,LGA
Western Australia,Regional WA Region,Mid West-Gascoyne District,Northampton,LGA
Western Australia,Regional WA Region,Mid West-Gascoyne District,Chapman Valley,LGA
Western Australia,Regional WA Region,Mid West-Gascoyne District,Greater Geraldton,LGA
Western Australia,Regional WA Region,Mid West-Gascoyne District,Irwin,LGA
