State,Region,District,Name,Type,Code,Population
Western Australia,Metropolitan Region,Armadale District,Armadale,LGA,50210,94184
Western Australia,Metropolitan Region,Armadale District,Canning Vale,SAL,50245,34504
Western Australia,Metropolitan Region,Armadale District,Gosnells,SAL,50574,21149
Western Australia,Metropolitan Region,Armadale District,Huntingdale (WA),SAL,50661,9021
Western Australia,Metropolitan Region,Armadale District,Kenwick,SAL,50754,5684
Western Australia,Metropolitan Region,Armadale District,Maddington,SAL,50873,12419
Western Australia,Metropolitan Region,Armadale District,Martin,SAL,50911,1854
Western Australia,Metropolitan Region,Armadale District,Orange Grove (WA),SAL,51185,726
Western Australia,Metropolitan Region,Armadale District,Southern River,SAL,51394,12852
Western Australia,Metropolitan Region,Armadale District,Thornlie,SAL,51448,23665
Western Australia,Metropolitan Region,Armadale District,Serpentine-Jarrahdale,LGA,57700,32173
Western Australia,Metropolitan Region,Cannington District,Belmont,LGA,50490,42257
Western Australia,Metropolitan Region,Cannington District,Canning,LGA,51330,95860
Western Australia,Metropolitan Region,Cannington District,South Perth,LGA,57840,43405
Western Australia,Metropolitan Region,Cannington District,Victoria Park,LGA,58510,36889
Western Australia,Metropolitan Region,Fremantle District,Cockburn,LGA,51820,118091
Western Australia,Metropolitan Region,Fremantle District,Cottesloe,LGA,52170,7970
Western Australia,Metropolitan Region,Fremantle District,East Fremantle,LGA,53150,7819
Western Australia,Metropolitan Region,Fremantle District,Fremantle,LGA,53430,31930
Western Australia,Metropolitan Region,Fremantle District,Mosman Park,LGA,55740,9169
Western Australia,Metropolitan Region,Fremantle District,Peppermint Grove,LGA,56930,1597
Western Australia,Metropolitan Region,Fremantle District,Melville,LGA,55320,103523
Western Australia,Metropolitan Region,Joondalup District,Joondalup,LGA,54170,160003
Western Australia,Metropolitan Region,Joondalup District,Wanneroo,LGA,58760,209111
Western Australia,Metropolitan Region,Mandurah District,Kwinana,LGA,54830,45867
Western Australia,Metropolitan Region,Mandurah District,Mandurah,LGA,55110,90306
Western Australia,Metropolitan Region,Mandurah District,Murray,LGA,56230,18068
Western Australia,Metropolitan Region,Mandurah District,Rockingham,LGA,57490,135678
Western Australia,Metropolitan Region,Midland District,Kalamunda,LGA,54200,58762
Western Australia,Metropolitan Region,Midland District,Mundaring,LGA,56090,39166
Western Australia,Metropolitan Region,Midland District,Swan,LGA,58050,152974
Western Australia,Metropolitan Region,Mirrabooka District,Bayswater,LGA,50420,69283
Western Australia,Metropolitan Region,Mirrabooka District,Stirling,LGA,57910,226369
Western Australia,Metropolitan Region,Perth District,Burswood,SAL,50226,2779
Western Australia,Metropolitan Region,Perth District,East Perth,SAL,50464,11681
Western Australia,Metropolitan Region,Perth District,Highgate (WA),SAL,50635,2326
Western Australia,Metropolitan Region,Perth District,Kings Park (WA),SAL,50762,48
Western Australia,Metropolitan Region,Perth District,Northbridge (WA),SAL,51159,1420
Western Australia,Metropolitan Region,Perth District,Perth (WA),SAL,51230,13670
Western Australia,Metropolitan Region,Perth District,West Perth,SAL,51580,6102
Western Australia,Metropolitan Region,Perth District,Cambridge,LGA,51310,28876
Western Australia,Metropolitan Region,Perth District,Claremont,LGA,51750,11284
Western Australia,Metropolitan Region,Perth District,Nedlands,LGA,56580,22132
Western Australia,Metropolitan Region,Perth District,Subiaco,LGA,57980,17267
Western Australia,Metropolitan Region,Perth District,Leederville,SAL,50840,3686
Western Australia,Metropolitan Region,Perth District,Mount Hawthorn,SAL,51015,8183
Western Australia,Metropolitan Region,Perth District,North Perth,SAL,51147,9623
Western Australia,Regional WA Region,Mid West-Gascoyne District,Upper Gascoyne,LGA,58470,170
Western Australia,Regional WA Region,Mid West-Gascoyne District,Carnarvon,LGA,51540,5251
Western Australia,Regional WA Region,Mid West-Gascoyne District,Shark Bay,LGA,57770,1031
Western Australia,Regional WA Region,Mid West-Gascoyne District,Murchison,LGA,56160,101
Western Australia,Regional WA Region,Mid West-Gascoyne District,Northampton,LGA,56790,3227
Western Australia,Regional WA Region,Mid West-Gascoyne District,Chapman Valley,LGA,51610,1556
Western Australia,Regional WA Region,Mid West-Gascoyne District,Greater Geraldton,LGA,53800,39489
Western Australia,Regional WA Region,Mid West-Gascoyne District,Irwin,LGA,54060,3680
Western Australia,Regional WA Region,Mid West-Gascoyne District,Mingenew,LGA,55530,407
Western Australia,Regional WA Region,Mid West-Gascoyne District,Morawa,LGA,55670,660
Western Australia,Regional WA Region,Mid West-Gascoyne District,Three Springs,LGA,58260,575
Western Australia,Regional WA Region,Mid West-Gascoyne District,Carnamah,LGA,51470,552
Western Australia,Regional WA Region,Mid West-Gascoyne District,Coorow,LGA,52030,1055
Western Australia,Regional WA Region,Mid West-Gascoyne District,Perenjori,LGA,57000,629
Western Australia,Regional WA Region,Mid West-Gascoyne District,Yalgoo,LGA,59350,340
Western Australia,Regional WA Region,Mid West-Gascoyne District,Mount Magnet,LGA,55810,653
Western Australia,Regional WA Region,Mid West-Gascoyne District,Cue,LGA,52380,215
Western Australia,Regional WA Region,Mid West-Gascoyne District,Sandstone,LGA,57630,109
Western Australia,Regional WA Region,Mid West-Gascoyne District,Meekatharra,SAL,50926,849
Western Australia,Regional WA Region,Mid West-Gascoyne District,Peak Hill (WA),SAL,51218,121
Western Australia,Regional WA Region,Mid West-Gascoyne District,Kumarina,SAL,50795,91
Western Australia,Regional WA Region,Goldfields-Esperance District,Goldfields,SA3,51103,38267
Western Australia,Regional WA Region,Goldfields-Esperance District,Wiluna,LGA,59250,535
Western Australia,Regional WA Region,Goldfields-Esperance District,Esperance,LGA,53290,13883
Western Australia,Regional WA Region,Great Southern District,Albany,SA3,50901,61880
Western Australia,Regional WA Region,Great Southern District,Wheat Belt - South,SA3,50903,19357
Western Australia,Regional WA Region,Great Southern District,Fitzgerald River National Park,SAL,50507,4
Western Australia,Regional WA Region,Great Southern District,Ravensthorpe,SAL,51281,580
Western Australia,Regional WA Region,Great Southern District,Jerdacuttup,SAL,50691,183
Western Australia,Regional WA Region,Great Southern District,Munglinup,SAL,51059,140
Western Australia,Regional WA Region,Great Southern District,West River,SAL,51584,71
Western Australia,Regional WA Region,Great Southern District,Hopetoun (WA),SAL,50654,1115
Western Australia,Regional WA Region,Kimberley District,Kimberley,SA3,51001,35092
Western Australia,Regional WA Region,Pilbara District,East Pilbara,SA3,51002,25443
Western Australia,Regional WA Region,Pilbara District,West Pilbara,SA3,51003,29594
Western Australia,Regional WA Region,Pilbara District,Angelo River,SAL,50018,3
Western Australia,Regional WA Region,Pilbara District,Capricorn,SAL,50253,79
Western Australia,Regional WA Region,South West District,Augusta - Margaret River - Busselton,SA3,50101,57332
Western Australia,Regional WA Region,South West District,Bunbury,SA3,50102,107549
Western Australia,Regional WA Region,South West District,Manjimup,SA3,50103,23863
Western Australia,Regional WA Region,Wheatbelt District,Wheat Belt - North,SA3,50902,55937
